ID,Date,Review
1564,2016-1,"Ok, this one will be a short one. You want to visit Disneyland to dream with your kids, right ? Ok then Hong Kong Disney is nothing but the dream.... and why ? Well, the longest queues you will ever stand for, losing your time. Oh and then the dirt on the floor, I will not even go into details, because it is quite disgusting to be honest. The overpopulation in the park and the mass of people make the trip unbareable to be honest. The huge dissappointed and specially when you know Disney Paris, Florida or California... So one good advise. Do not settle for less. Go to the real Disney, dont settle for the mediocre one just because it is nearer......Dont do that to your kids. "
1565,2016-1,We loved visiting Disneyland! I went there with my partner and it was the first time for both of us to visit any Disneyland and we really enjoyed all the rides and seeing all the characters walking around. We stayed there all day and really enjoyed the firework show on the night! 
1566,2016-1,"We spent only a day at Disneyland, due to time constraints. But a day is definitely not enough to explore everything. From Adventure Land to Toy Story Land to the Magical Castle   you have to experience it all. Queues to get into rides were a bit long (as can be expected), but so worth it. Don't forget to get your photo taken with Mickey and Minnie and Woody! And keep some extra cash to pick up amazing souvenirs from the various shops. What an unforgettable experience!"
1567,2016-1,"Pricing of Hong Kong Disneyland from 16 December 2016 increased from original HK$539 to HK$589 adult; then chirdren's tickets increased from HK$385 to HK$419 whereas elderly ticket remains unchanged at HK$100. Personally not recommended, it costs already HK$1,597 if you are a family of 3 people. (2 adults and one child) plus. the food inside Disneyland is not cheap."
1568,2016-1,"Avoid rush, reach early and directly go to the best rides.   I would rate ToyStory ride (in tomorrowland) the best. There are some amazing roller coaster rides for the brave hearts too,"
1569,2016-1,I visited Hong Kong Disneyland on January 2016 with my daughter and sisters. This is my first time went to Disneyland and I love everything there. Well this is really a place  where adults can be child again..
1570,2016-1,The smallest Disneyland in the world.  Take the MTR Tung Chung Line is the most convenient way to the theme park.
1571,2016-1,"I came to on Disneyland holiday, it's lots of people...we use long time for queue. It makes me feel crowded. But it is worth it and a good chance to dating with family,friends,partners and couples.Disneyland is very good for taking photo and the shop is so great, we can buy many souvenir. They are cute and funny. I buy some souvenir even though they are very expensive. Haha!!!One of the most amazing magic in the Disney park is a  talking trash can  in the world of tomorrow. It is cute!!I felt very romantic at night, because it will have a firework display, many people will see it before they left. It is very beautiful.It is a good place suitable for every age! Especially for the children, the will feel happy after they saw many kind of cartoon character. They can take a picture with them and they will very enjoyable."
1572,2016-1,"It is accessible by MTR, bus, car from the city, and is located in a quiet spot away from the hustle and bustle of the city. It duplicates the buildings, decorations, garden and theme parks of the Disney World, but on a smaller scale. The attractions are good for tourists in Hong Kong and from mainland China. There is a Disney hotel close by and a very nice restaurant."
1573,2016-1,"castle, restos, rides, parks, parades and of course fireworks! feels like i am younger again, the characters are complete though the queues are beyond! we went there on weekend so we expected to get busy in the park. i would say our trip was great! mickey, pls be me!"
1574,2016-1,"when you're with friends whom you consider family, you know you're home. disneyland will make you feel exactly the same thing regardless who are with you because it has the complete ingredients to take away the sadness brewing inside, just like a family who'll always stick with you no matter what. i want to go back there again but with my son & husband next time."
1575,2016-1,A whole day of fun for the family. Probably need another day. Easy to get to. Just catch the main train & change to the Disney shuttle train. Even the shuttle has Disney theme.Went during sunny winter day   neither hot nor cold. Beat the Chinese New Year holiday crowd a few weeks ahead. Queue are shorter & less waiting around.
1576,2016-1,This place is very lively. The rides out here are good. Any one going here must wait till the end to watch the parade. It is too good.
1577,2016-1,Went here with my family and husband last January 2016. We get to ride everything we chose. There were no lines because I believe a rainy season in HK so theres no much tourists. Dont bother waiting in long line at the car rides unless you have kids lol!
1578,2016-1,This was the highlight of my trip so far! Nothing can ever beat the feeling of watching the fireworks during the night. I felt like I was a kid all over again and seeing all these beauty really made me happy. I'll really come back here again soon.
1579,2016-1,"I already expected less when I went there. It is smaller than Tokyo's and basically has the same rides. Even the street peddler actually sells similar food, like turkey leg. Maybe all disneyland across the world having same kind of food. Surprisingly it's not as crowded as Tokyo's, and I covered all the rides in one day.The toilet pretty much well maintained, a lady will watch for every toilet and clean the stall once someone finish. But you can't avoid ill mannered tourist who doesn't know how to flush properly (and the toilet lady angry in cantonese).The most amazing thing there, I lost my passport. I went back a day after and successfully retrieve it without not much hassle. Note that they didn't allow selfie stick (I don't know why). Security will warn if you still insist."
1580,2016-1,"It's okay, it's small, are the rides shorter cause they feel shorter ?  I wunder if Shanghai Disney is a better day out ."
1581,2016-1,"We allowed a full day for this, getting to the park nice and early. We needn't have rushed   it's so small it really doesn't take very long to get round the whole park. The up side is that means you can take things a bit slower knowing that you'll still get to see everything. "
1582,2016-1,"An entire day of magical fun for Disney lovers. 1) do not miss the light up at night and the fireworks at closing!2) the light parade (paint the night) was spectacular. If you get a chance, do go there!3) food was not good and very expensive. Be prepared to pay for it, or pack. This cost the review one star.4) not many fast passes, please plan your day carefully!5) make time for the shows, they are worth it. I went for festival of the lion king, it was great."
1583,2016-2,"As it was winter time in HK, it was perfect for visiting Disneyland.  There are so many rides to go on and many places to look at.  Great train ride around the park.  The end of day fireworks are spectacular and not to be missed!!"
1584,2016-2,"It's beautifull, it's green, it's well maintained, it's mostly well managed.There are various attractions and amazing shows.The food, services and facilities are excellent.Just avoid the crowd on Public holidays and Sundays or be prepare to queue for a long time at each spot.Nevertheless, I would not recommand this park for teenagers and adults (except with little ones) because they could get bored. It is very different from American or European DisneyParks and is clearly dedicated to the youngest ones here. Pricey too. "
1585,2016-2,"I've been to every Disney resort there is and this one is definitely the smallest and least visited but I have no idea why. Shanghai Disney has not opened yet and amusement parks are such huge attractions in Asia. It felt like Disneyland in Anaheim (my favorite Disney park) placed on an exotic island since behind Sleeping Beauty Castle there are mountains and the ocean is not far. Not as many rides as the other Disney parks and it is only one park, but nonetheless it is still a magical time. Lines are very short since attendance is not that high, the hotels are beautiful, and it gives you that Disney feel and you almost forget that you are in Hong Kong, for a second I thought I was in Anaheim. Almost always no wait for Space Mountain."
1586,2016-2,"I visited HK Disneyland with my family in January 2016. We visited here right after we visited Ocean Park in Hong Kong. We had not planned for the visit but we took a cab there from our hotel in Kowloon (the fare was approximately 200 HKD as I remember) and bought tickets there that morning. There is also an option to take the metro there but we did not use this facility. There was a little bit of rain and it was very overcast so we were apprehensive initially, but it didn't rain too much and we had a lot of fun! There wasn't too much of a crowd on the day (perhaps due to the weather), which made it all the more fun. In comparison with Ocean Park, Disneyland is much smaller and doesn't have as many 'grown up' or thrilling rides, but has its own special charm. The food here was great   we had the caramel popcorn and other snacks from the carts and for lunch we had the Indian meals at the Tahitian Terrace. The staff throughout the park are very friendly and extremely professional. My favorite rides were the Runaway Mine Cars in the Grizzly Gulch, the RC Racer and Space Mountain. There is currency exchange facility available at guest services by the entrance in case you need some cash as there are places where you may need to spend cash (eg. the food carts). You can take advantage of the Fastpass facility at certain rides in case of long queues.Overall we had a great day here!"
1587,2016-2,Place is designed superbly . Try to take maximum snaps . Rides are not that much for Teenagers. its mostly or the Children.
1588,2016-2,Bought the tickets via Klook. A bit cheaper than normal and you wouldn't have to queue. Just show the QR Code at the entrance and zoom your way in. Great for family and kids. Plenty of rides and shows for the entire family. Food throughout the entire park. For those thrill seekers expecting extreme rides would be disappointed as there are only 3 of them. I would range them mild. The highlight of the Park is the fireworks show towards the end. It is worth the wait.
1589,2016-2," Too bad the small world area is closed that time.  To maximize the entrance fee you paid, you should allot a whole day there because the cue will take most of your time No good restaurant and expensive as well!  Just roaming around makes me happy Make su"
1590,2016-2,"Disneyland is a lovely place for kids. The train to Disneyland is beautiful, pink in colour with Mickey's face as windows. Disneyland is also great, specially the evening parade. Couldn't find much to eat in vegetarian. Rides were good. Overall, it was a lovely place mainly for kids."
1591,2016-2,"Really enjoy the show & game here especially with kids below 9yrs. I'm not worry about the food because got 1 halal restaurant served halal meal (The Explores Club). Prayer room do have & located at City Hall. No need go very far away, H.Kong is the nearest to go Disneyland from Malaysia."
1592,2016-2,"So excited to be with our daughters family. When we stopped at train station there was the Disney train,wow amazing . Don,t want yo tell all don,t want spoil your trip. Your eye are wide open looking this way that way just awesome. If you are a pensioner ask, this was cheaper that kids. Just to sit and see the eye on the faces on the kids and big kids alike. A must trip"
1593,2016-2,Great place for kids to have fun with disney charecters.   should reach early to cover the whole place
1594,2016-2,"Its really beautiful fairy world, every one must visit this attraction. We bought tickets online from klook.com as it is more convenient and you do not have stand in long queues. Online tickets are available at discounted prices. You can also buy tickets from China Tourism counter at Hong Kong airport at discounted price."
1595,2016-2,"For full 1 day,it was like revisiting your childhood.To add icing on the cake,my kids were a part of this.Extremely nice place & a must do in your travel itinerary in case you are planning Hong Kong travel.Expect the unexpected here, rides,food,castles,characters.. You name it...it's right there.It's a place,you must try...not alone..kids make it even more memorable. Day end parade was out of this world..great place to carry memories forever"
1596,2016-2,HKDL is a fun theme park for everyone. If you love to see fireworks you can wait for them everyday and easy transportation to HK down town.
1597,2016-2,"It was my first time to go to Disney theme park. We stayed at Kingdom club in Disney hotel so had special entry gate to right end of gate options which made entry quick & easy. When we booked our Disney tickets we were unsure if we were wasting a day of our time in Hong Kong. But we had a fabulous day which was without a doubt our best Disney park experience. We initially though that normal theme park might queue for rides long time, cost, quality of food and overall experience. However, Hong Kong Disneyland is the opposite it wasn't too busy, granted it was a weekday and not peak season. There were no hour long lines for rides most were 5 15 mins so you can do all the rides in one day. It is a well structured park and it was nice to be able to get character photos with just a couple of minutes wait not long lines. Besides, Street parade is great, best spot is between the Disney castle and street as the parade stopped there for quite a while for static entertainment which only a limited number of people saw.The food selection was good, well priced and there were healthy options. Overall, if you haven't been to a Disney park yet go to this one first."
1598,2016-2,The park is great but if you are going to charge me $$$$ for food you should at least make it better quality than dog food!! Maybe check the rules to see if you can bring some food or snacks with you because you will be disappointed!!
1599,2016-2,"This is a happiest place in the world, when your dreams come true. Hongkong disneyland give their visitor a new excisting not only for kids but adult too. we can spend our time with many attraction and never feel bored. if you hungry they have restaurant around and if you moslem dont worry because they have halal restaurant too in Adventure land, named TAHITIAN RESTO. "
1600,2016-2,"my 3rd visit to hk disney. it's a wonderful place for a one day visit. come here around 10am and have lunch, watch parade, have a rest at the disney dock, come back at night to see the firework. it's one of the best fireworks i have ever seen. it's convenient to take disney line back to city."
1601,2016-2,Hk Disney was amazing! We went on a weekday and had almost no lines! We went on every ride in the park  someEven 5 or 6 times!! The shows were stunning! The food was great! We even got to be the 'first family' and open the park with a golden key! The only line was autopia  so hit that first!! Also  you story land can get a bit congested!
1602,2016-2,"If you are with kids must buy two days pass becoz long queues will consume more time in queues. However, in case of small queues  then one day pass is sufficient."
1603,2016-2,"Disneyland as mentioned, it's a place for young and old. To complete the themepark, I would recommend if you allocated 2 days. I went for a day and only manage to complete 70% with 2 photos sessions. Some few tips & helps on purchasing tickets and entering the theme park. 1 Choose a date where it's non peak season We bought the ticket during the season where not all seasonal ticket holders are allow to entered the theme park. You will be able to check the block out dates at the bottom of the page   Park & Schedule   Park Calendar. 2 Collection of tickets.If you purchased the via online or agent. Head toward the park entrance toward the right and you will be able to find the self machine ticket collection. Just scan the QR code on the printed email and the machine will dispense the tickets.  3 Priority entrance for Disneyland Hotels If you are staying at any Disneyland Hotels, there is a priority queue located at the right side (at the edge of the theme park). You will be able to skip the queue and enter the theme park.  4 Fast Pass for Space Mountain (Roller Coaster) & The Many Adventures of Winnie the Pooh.When you arrive at the theme park, do remember to collect the pass from these 2 rides. With the fast pass you will be allocated to a time slot and skip the queue. Do remember there are limited fast pass per day  5 Disney PhotoPass Plus (Digital download at HK$398)Instead of purchasing individual photos when you take a photo with your favourite Disney Character. You will be able to receive ALL softcopy photos you took around the park. You will be able to customize different borders for up to 14 days upon purchase. Just search for  Disney PhotoPass  in the website to find out more. 6 Firework, Day Parade & Night Parade For Firework, the best place to see it is in front of the sleeping beauty castle. For Day Parade & Night Parade, the best view somewhere near the right (facing the castle) where you will be able to see any incoming and outgoing shows. Reach there early to avoid disappointment. Hope that help."
1604,2016-3,Despite what the majority of the travellers here says   I liked the resort more than the Ocean Park. You have to try the rollercoaster in the Grizzly Gulch!!! Awesome.
1605,2016-3,"Since I brought an 8 year old son in this Hongkong trip, Disneyland Hongkong is a place not to be missed out. It already rained since morning, but we braved our hearts to go. This was our 2nd time to Disneyland, therefore we already knew how to get there. Taking the cute Disneyland train was still a fun experience for younger kids. When we reached there, the entrance queue was short, in fact no queue at all as few people want to come during rainy and cold weather. Anyways, we went in and took the rides that we had not rode on before in our previous trip. A thumbs up to Disneyland. All the rides operated though visitors were few and it rained quite heavily. I could see all the Disney staff wearing raincoats, taking time to smile and greeted us happily. It was good as children felt welcomed. The photo session and parade also went on as normal. However, fireworks was cancelled due to bad weather. We enjoyed our rides in the rain. We had equipped ourselves with raincoats and umbrellas. They also sold raincoats with Disneyland figures, and it was bestseller on that day! We had lunch consisting of chicken, pork and duck rice. The food was good and of big portion, price was expensive! The sitting place was soaked with rain...there was no shelter, only a few big umbrellas overshadowing us and still we could get wet. We did not choose a closed space restaurant as it was the closest to us. I think this could be improved by the management. On our way back, we bought a few souvenirs from the Disney shops. Overall a fun and memorable experience. We would surely go back again, but during a much weather friendly season."
1606,2016-3,Disney Land every where is a great trip and this no exceptionGreat day had by all and you never miss the end of day parade or fireworks.For my young daughter  there is always a little princess in all our daughters.... and this bought out the best.
1607,2016-3,"Living in Florida, USA, this Disney Park was small. I visited on a rainy day and there were very few people there. I was very surprised. The Main Street only had about 3 dozen people on it. It is near the airport, built on reclaimed land, and not near the city. The one good thing was the price. Being a Senior, aged over 65, I paid $22.50US. Compare that to the over $100 in Florida and it was a great value. Saw many cute little dressed up Princess'. Disney is always a fun place to be."
