ID,Date,Review
121,2016-1,"We went to Universal over Memorial Day weekend and it was a total train wreck. We waited to get in the parking lot for about forty minutes. We paid for prime parking to make up for all the wasted time.  Then we paid extra for the express pass 2-park tickets only to be turned away and sent to guest services bc the app didn’t show the bar code. The line at guest services took forever. They are clearly understaffed. We were sent to yet another guest services line because we had the express passes! Also took ages! We spent nearly 2 hours just trying to enter the park! When we shared this with Jackie at guest services she smirked, didn’t even apologize and was patronizing. This would never happen at Disney.  Once inside several of the rides didn’t work, when they reopened they were backed up so the express line on some rides was still a FULL HOUR wait and two hours without the express pass! We also saw people jump over and sneak in to the express lanes and then convince the workers to just let them on if there was a check point and it worked. We felt like complete suckers for paying for the express pass that still left us in long lines and that other people who didn’t pay could just sneak in to.  There were long lines to buy water, to use a restroom, to get a butter beer- it sucked.  Horrible day. Avoid this place, it’s a total disaster!"
122,2016-1,The food service is horrible. I’m not reviewing the food. It’s the wait time!!!! 45 minutes minimum to get to the one cashier working at each place. Ruins the whole experience. 5 closed cash registers.
123,2016-1,"I booked this vacation mainly to ride Hagrid motorcycle adventure; very disappointing to find out the only way to ride it is through ""Virtual line"". I've spent my entire vacation trying to find a spot, but always got the same message ""No virtual line times left"". It seems very strange to me how suddenly the ride changes from 30 minutes wait, to no virtual line times left. I strongly believe that whoever is responsible for running this virtual line, is actually prebooking all the times available throughout the day to whoever they want to. Costumer services is very poor to say the least, and clearly not only doesn't care to address my complaints, but also very unapologetic, defiant. It's true what I've heard ""we are not in Disney, we don't have to be nice"". Every time we wanted to eat in any location at any park, there was always a huge line waiting to be served or seated. All 3 parks were filthy, trash everywhere. This review probably will not make any difference to Universal, probably won't get to be read at all. Some agent I was chatting with already said it when I told them I was considering not coming back, he/she simply said ""No problem!"" At least I get to express my feelings based on my experience. Hopefully it will be helpful to a potential guests."
124,2016-1,"When a person tries the test seat for the rides, and gets the green light, they should not have to go through a long line just to be turned away because the ride operators say they can't get in the actual seat. And giving out express passes to the group does not rectify that situation."
125,2016-1,"Ok, I can't stress enough to anyone and everyone... if you go to Universal Studios Orlando... make sure you take the time to go see The Bourne Stuntacular...I had to watch it 3xs and it wasn't enough. I never knew who Jason Bourne was... but now I will be buying the movies. This was absolutely awesome, amazing and 100% worth the entire cost of the trip by itself. So worth the wait and every time I went it was packed. I would have passed it up thinking it was nothing WRONG!!!! ...DONT MISS THIS!!!!"
126,2016-1,Worst experience I have ever had the rides are outdated the whole place smell like vomit where ever you go theres long waiting times the staff are super disrispectfull at restorants especially bubba camp the manager and staff are super rude disrespectful uncaring. This isn’t a vacation
127,2016-1,"I just expected more. Alot of waiting around, lack of staffing and over priced tickets for what you actually get. They wanted over $700 bucks for a cabana at Volcano Bay! The express passes were close to $150.00 bucks. They need to take lessons from Disney as they seem to have the crowd control down. City Walk was just a bunch of kids hanging out all night. Just Eh. It's been 15 years since my last visit and now I know why."
128,2016-1,"This was my 4th trip with my daughter to Universal and unfortunately my most disappointing. Most of which had nothing to do with Covid restrictions. We stayed on-site at the Hard Rock and of course had the fast passes. At the time of our stay May 18-22 there was no housekeeping at all. All trash and used towels were left in the hallway and a phone call had to be made for fresh towels. So walking down the hallway to dirty towels and trash wasn't the most pleasant experience. Hotel aside my biggest complaints were the crowds and long lines for the rides and food. Fast passes were of course not available on the newer attractions, so 1 hour plus waits for those rides. Most other rides were about 1/2 the wait time. Most sit down restaurants in the park and at city walk had no walk up times and reservations were few and far between. Make sure you make them well ahead of time as there was limited seating. Take out at the food court at city walk was well over an hour. They were well under staffed (3 employees at Moe's) and the line was far out the door. The area was dirty and the trash was overflowing. It just appears as Universal is not prepared for the crowds they are letting in. I guess we just expected more for the money we spent. We love Universal, but I am very leary about coming back anytime soon."
129,2016-1,"Universal is one thing - Not Disney. Everything Disney does well Universal dues poorly. We arrived just before opening (9 AM) and exited our car in the marking deck. We were met with a line so long it went from security, all the way across 2 bridges and circled back on itself 4 times in the marking deck. After an hour we realized the line was not really being enforced and people were going around so we followed a small crowd up closer and still had another 1/2 hour wait to get in. There were NO employees helping to direct traffic or people. I asked an employee once we got through security and they simply said that they were not limiting the parks and that they were extremely short staffed. Only about 1/3 of the employees had been hired back but the crowds were overwhelming them.  The rest of the day went about the same. 1 hour for coffee. 1.5 hours to get food. We managed to ride ONE ride in 7 hours and finally left due to frustration.  Not much changes. If you have been before don't waste your time. For the first time Harry Potter fans its interesting to walk around and shop but good luck doing much. 90+ minutes to ride the hogwarts express.  They did have mask policies but no one was around to enforce them so what was the point? They had hand sanitizer stations but I did not find a single one with anything in it. They clearly care about $$ and not guests or employees. I won't be back and I'd take a Disney park (which were below capacity and a great experience for less $$) any day."
130,2016-1,"We spent 6 nights on site at Sapphire Falls as a family of 6 (2 adults, 4 kids age 5-14) with a 4 day park hopper pass. We did not get the express pass, but if you want to do rides and aren't there for four days, I don't know how you would experience this park without them. The early park admission didn't do much as only Universal Studios offered it during the days we were there. This ended up being the busiest times of Wizarding World throughout the day and the longest line at the gate. We did Universal Studios and Islands of Adventure Thursday, Friday, Sunday, and Monday to avoid the Saturday crowd. Sunday was the lightest day with regard to crowds.  The theme park did a great job of immersion in the lines and having a little something for everyone. If you are pregnant or are prone to motion sickness, you will struggle to find rides you can do. Our little ones loved Fieval's playland and Dr. Seuss Landing. They also enjoyed the Men in Black Ride. Our older kiddos, who were new to theme parks and coasters, enjoyed a varied array of rides and shows. Animal Antics show was ok- Indianapolis zoo has one similar but much better. Bourne Stuntactcular was amazing. The Ripsaw falls and Popeye's barge were a hoot.  Wizarding World was quite neat. So well done to every fine detail. Unfortunately, employees don't seem to get that memo and ruin the ""magic"" a bit. Gringotts and Hagrid's were amazing rides. Worth the wait. We found Gringotts rarely had a line around 10am after the initial early entrance arrivals went through. Hagrid's line went down the lowest around noon (45 minutes).  We had a lovely time and it was a memorable vacation. Here are a few things to keep in mind or I wish Universal would improve on:  --I don't think I encountered any ""above and beyond"" employees. Most seemed annoyed that guests were in the park. I felt like a stone in their shoe rather than a guest. It was a rare occurrence to get a friendly wave as we entered or left a line.  --Breakfast at the Three Broomsticks was absolutely horrendous (we had breakfast tickets with our package). The girl's pancakes were stale as though they had sat for a couple hours under a heat lamp. It took almost 20 minutes after being seated for someone to come to our table and the place was mostly empty. My eggs were obviously some powdered version and were barely edible. Once the food was delivered, no one came by to refill drinks or ask us about our food. Thankfully, the food and experience at the Leaky Cauldron was 100% better.  --The ""quick service"" dining locations where you mobile ordered and they brought food to your table was incredibly slow- usually about a 45-60 minute wait for food. There was no way to order cups of water on the mobile device, and when we asked for it when the waiter brought our food they seemed quite put out by the request. Maybe this wait is normal, but it was unexpected for us. It was so hard to find water in the park and you always felt like you were the biggest annoyance when asking for it. Many of the freestyle machines (I had been told you could get water from for free) did not offer free water.  --I stood in quite a few lines where the employees were much more interested in talking to one another than interacting with guests. In one line, they were talking about how hammered they had gotten at a party over the weekend. Another kept complaining about how hot and tired they were to another employee and couldn't wait to go on break. These were just a couple of examples. It was as if the park guests were invisible.  --We went knowing the mask rules, followed them to the best of our ability, and were thankful for the ability to not wear them outside when not in line. However, the rules did not make any sense in some instances. The most aggressive employees about masks were on the Red Fish, Blue Fish ride. They would literally interrupt the whole ride and song when a kid's mask fell off in flight below their nose or they moved it down when it got wet. These kids are outside, in the air moving, and at least 15 feet apart from each other. Literally, there is essentially no risk or reason to have masks on in that environment- why interrupt the ride to yell at them? It was just annoying.  One way they did GREAT in the park as we got shut down twice on rides and they did a great job of making it right. Men in Black broke down while we were on it. They kept us all calm and escorted us out with laughter and smiles and a one-time express pass. We waited in line for over an hour for Hagrids when it broke down. They gave everyone in line an exclusive express pass that included coming back to Hagrid's to cut the line which was a tremendous blessing. We also had breakdown problems at Minions and again on Hagrid's when we actually rode it (delay after the devil's snare for a brief bit that was a little terrifying as we could hear the next riders above us and were afraid they'd drop on us!).  The Universal App worked pretty well, but the wait times were rarely accurate for rides. Sometimes it was half as long as it was listed, sometimes twice as long. We went to go to Shrek and when we arrived at the line it said 25 minutes. Throughout our LONG line it continued to say that. Nearly an hour later, we finally got in. We went to Gringotts for a 20 minute line- and there was literally no wait- we climbed right in a vehicle! Mobile ordering was easy- but it doesn't save time. Paying on the universal app was sketchy and it wasn't accepted at the quick food service at CityWalk.  If Universal could improve its staffing both from a quality and quantity perspective, it would really benefit the guest experience.  We had purchased the Harry Potter package- in all, not worth the extra cost."
